model,d0,theta10,theta20,d_final,theta1_final,theta2_final,F_d,F_theta1,F_theta2
first_half,1.5,1.8849555921538759,-1.2566370614359172,2.54817,2.4650853,-0.3035419,0.0006017685,0.0002720356,0.00029977347
first_half,1.5,1.8849555921538759,-0.6283185307179586,1.7112919,0.11253309,-2.4988544,-7.271767e-05,5.0783157e-05,0.00037772427
first_half,1.5,1.8849555921538759,0.0,1.2043909,1.4344184,-0.7491572,-2.4795532e-05,2.002716e-05,-7.3460806e-06
first_half,1.5,1.8849555921538759,0.6283185307179586,2.0414767,2.0967324,0.5533297,-0.0058670044,0.006576538,0.0001889769
first_half,1.5,1.8849555921538759,1.2566370614359172,2.0449433,2.097319,0.5552461,0.0017433167,-0.023644447,-0.010373254
first_half,1.5,1.8849555921538759,1.8849555921538759,3.3114579,1.5864089,1.9901555,1.9342258,-1.7169409,-0.90769076
first_half,1.5,1.8849555921538759,2.5132741228718345,2.5485203,2.465196,-0.3034172,0.00027656555,-0.00022983551,0.0001501368
first_half,1.5,2.5132741228718345,-3.141592653589793,1.7112929,0.112532854,-2.498858,-5.4359436e-05,6.198883e-05,0.00039796595
first_half,1.5,2.5132741228718345,-2.5132741228718345,2.548173,2.465093,-0.30353022,0.0005683899,0.00030255318,0.00026805644
first_half,1.5,2.5132741228718345,-1.8849555921538759,1.2043898,1.4344184,-0.7491591,2.7656555e-05,-2.193451e-05,1.309747e-05
first_half,1.5,2.5132741228718345,-1.2566370614359172,1.20439,1.4344189,-0.74915695,-2.193451e-05,4.7683716e-06,-4.9084498e-05
first_half,1.5,2.5132741228718345,-0.6283185307179586,2.5481784,2.4650843,-0.30354285,0.0005950928,0.0002593994,0.00031241018
first_half,1.5,2.5132741228718345,0.0,1.2043898,1.4344189,-0.7491572,-7.6293945e-06,-3.8146973e-06,-4.3451553e-05
first_half,1.5,2.5132741228718345,0.6283185307179586,3.4711504,-2.2515326,0.51426816,0.0011053085,0.0006403923,0.00061304047
first_half,1.5,2.5132741228718345,1.2566370614359172,3.4716296,-2.2512164,0.514508,0.00050115585,0.00043559074,0.0004696306
first_half,1.5,2.5132741228718345,1.8849555921538759,10.453653,-2.9608665,0.27530646,-0.00044727325,-0.00030565262,-0.00034394654
first_half,1.5,2.5132741228718345,2.5132741228718345,1.7112924,0.112532616,-2.4988592,-4.529953e-05,6.747246e-05,0.0004023331
first_half,2.0,-3.141592653589793,-3.141592653589793,1.7101489,0.111641645,-2.4983456,0.00080013275,-0.00034427643,-0.0044147447
first_half,2.0,-3.141592653589793,-2.5132741228718345,2.04171,2.0844147,0.5477288,-0.13039017,0.039681435,-0.046556517
