d,theta1,theta2
1.000000000000000000e+00,2.892999887466430664e+00,2.456000089645385742e+00
1.071428537368774414e+00,-2.101999998092651367e+00,2.255000114440917969e+00
1.071428537368774414e+00,2.147000074386596680e+00,-2.275000095367431641e+00
1.071428537368774414e+00,2.977999925613403320e+00,2.453999996185302734e+00
1.142857193946838379e+00,-3.138000011444091797e+00,2.469000101089477539e+00
1.142857193946838379e+00,-2.043999910354614258e+00,2.265000104904174805e+00
1.142857193946838379e+00,2.058000087738037109e+00,-2.247999906539916992e+00
1.214285731315612793e+00,-1.985000014305114746e+00,2.279999971389770508e+00
1.214285731315612793e+00,2.006000041961669922e+00,-2.190000057220458984e+00
1.285714268684387207e+00,-1.922999978065490723e+00,2.298000097274780273e+00
1.285714268684387207e+00,1.968999981880187988e+00,-2.137000083923339844e+00
1.357142806053161621e+00,-1.856999993324279785e+00,2.315999984741210938e+00
1.357142806053161621e+00,1.942000031471252441e+00,-2.091000080108642578e+00
1.428571462631225586e+00,-1.786999940872192383e+00,2.332000017166137695e+00
1.428571462631225586e+00,1.921000003814697266e+00,-2.052000045776367188e+00
1.500000000000000000e+00,-1.713000059127807617e+00,2.338999986648559570e+00
1.500000000000000000e+00,1.906000018119812012e+00,-2.016999959945678711e+00
1.571428537368774414e+00,-1.628000020980834961e+00,2.331000089645385742e+00
1.571428537368774414e+00,-8.280000090599060059e-01,2.414000034332275391e+00
1.571428537368774414e+00,1.894999980926513672e+00,-1.985999941825866699e+00
1.642857193946838379e+00,-4.339999854564666748e-01,2.549000024795532227e+00
1.642857193946838379e+00,1.886999964714050293e+00,-1.955999970436096191e+00
1.714285731315612793e+00,-5.099999904632568359e-02,2.749000072479248047e+00
1.714285731315612793e+00,9.890000224113464355e-01,-2.338000059127807617e+00
1.714285731315612793e+00,1.881999969482421875e+00,-1.925999999046325684e+00
1.785714268684387207e+00,-3.700000047683715820e-02,2.838999986648559570e+00
1.785714268684387207e+00,1.879999995231628418e+00,-1.894999980926513672e+00
1.857142806053161621e+00,-1.932999968528747559e+00,2.820000052452087402e-01
1.857142806053161621e+00,-3.200000151991844177e-02,2.911000013351440430e+00
